REGIONID,PRODUCT,YEARWEEK,QTY
A01,PRODUCT75,201403,23768
A01,PRODUCT8,201403,105
A01,PRODUCT19,201403,1513
A01,PRODUCT20,201403,59
A01,PRODUCT47,201403,4436
A01,PRODUCT60,201403,4
A01,PRODUCT56,201403,5449
A01,PRODUCT57,201403,13394
A01,PRODUCT12,201403,119281
A01,PRODUCT1,201403,21350
A01,PRODUCT33,201403,6940
A01,PRODUCT14,201403,8022
A01,PRODUCT62,201403,3823
A02,PRODUCT2,201403,3697
A02,PRODUCT6,201403,0
A02,PRODUCT58,201403,100
A02,PRODUCT63,201403,3216
A02,PRODUCT4,201403,1748
A02,PRODUCT16,201403,-1
A02,PRODUCT59,201403,20184
A02,PRODUCT34,201403,1404
A02,PRODUCT47,201403,488
A02,PRODUCT60,201403,12
A02,PRODUCT56,201403,107
A02,PRODUCT57,201403,54
A02,PRODUCT12,201403,5496
A02,PRODUCT1,201403,168
A02,PRODUCT33,201403,885
A02,PRODUCT14,201403,923
A02,PRODUCT62,201403,335
A01,PRODUCT2,201401,225
A01,PRODUCT6,201401,0
A01,PRODUCT58,201401,0
A01,PRODUCT63,201401,47708
A01,PRODUCT15,201401,5684
A01,PRODUCT4,201401,18722
A01,PRODUCT16,201401,1316
A01,PRODUCT59,201401,253391
A01,PRODUCT34,201401,14836
A01,PRODUCT7,201401,1153
A01,PRODUCT75,201401,15798
A01,PRODUCT8,201401,164
A01,PRODUCT19,201401,1519
A01,PRODUCT20,201401,41
A01,PRODUCT47,201401,5650
A01,PRODUCT60,201401,13
A01,PRODUCT56,201401,5000
A01,PRODUCT57,201401,9660
A01,PRODUCT12,201401,139564
A01,PRODUCT1,201401,14115
A01,PRODUCT33,201401,7043
A01,PRODUCT14,201401,9844
A01,PRODUCT62,201401,5987
A02,PRODUCT2,201401,6198
A02,PRODUCT6,201401,0
A02,PRODUCT58,201401,294
A02,PRODUCT63,201401,2309
A02,PRODUCT4,201401,2792
A02,PRODUCT16,201401,0
A02,PRODUCT59,201401,32183
A02,PRODUCT34,201401,1104
A02,PRODUCT47,201401,1844
A02,PRODUCT60,201401,62
A02,PRODUCT56,201401,93
A02,PRODUCT57,201401,70
A02,PRODUCT12,201401,9487
A02,PRODUCT1,201401,321
A02,PRODUCT33,201401,2089
A02,PRODUCT14,201401,2272
A02,PRODUCT62,201401,505
A01,PRODUCT2,201404,203
A01,PRODUCT6,201404,0
A01,PRODUCT58,201404,0
A01,PRODUCT63,201404,37305
A01,PRODUCT15,201404,4341
A01,PRODUCT4,201404,21018
A01,PRODUCT16,201404,905
A01,PRODUCT59,201404,240723
A01,PRODUCT34,201404,13798
A01,PRODUCT7,201404,792
A01,PRODUCT75,201404,23462
A01,PRODUCT8,201404,258
A01,PRODUCT19,201404,2264
A01,PRODUCT20,201404,21
A01,PRODUCT47,201404,4167
A01,PRODUCT60,201404,10
A01,PRODUCT56,201404,5436
A01,PRODUCT57,201404,9196
A01,PRODUCT12,201404,139609
A01,PRODUCT1,201404,9457
A01,PRODUCT33,201404,6041
A01,PRODUCT14,201404,7562
A01,PRODUCT62,201404,3325
A02,PRODUCT2,201404,1613
A02,PRODUCT6,201404,0
A02,PRODUCT58,201404,34
A02,PRODUCT63,201404,2781
A02,PRODUCT4,201404,1072
A02,PRODUCT16,201404,0
A02,PRODUCT59,201404,18276
A02,PRODUCT34,201404,1260
A02,PRODUCT47,201404,501
A02,PRODUCT60,201404,23
A02,PRODUCT56,201404,99
A02,PRODUCT57,201404,58
A02,PRODUCT12,201404,4512
A02,PRODUCT1,201404,75
A02,PRODUCT33,201404,839
A02,PRODUCT14,201404,938
A02,PRODUCT62,201404,371
A01,PRODUCT2,201403,236
A01,PRODUCT6,201403,0
A01,PRODUCT58,201403,0
A01,PRODUCT63,201403,31379
A01,PRODUCT15,201403,3689
A01,PRODUCT4,201403,17331
A01,PRODUCT16,201403,1018
A01,PRODUCT59,201403,237089
A01,PRODUCT34,201403,13514
A01,PRODUCT7,201403,789
A01,PRODUCT2,201402,203
A01,PRODUCT6,201402,1
A01,PRODUCT58,201402,0
A01,PRODUCT63,201402,38334
A01,PRODUCT15,201402,4049
A01,PRODUCT4,201402,14310
A01,PRODUCT16,201402,919
A01,PRODUCT59,201402,232995
A01,PRODUCT34,201402,12032
A01,PRODUCT7,201402,868
A01,PRODUCT75,201402,21562
A01,PRODUCT8,201402,102
A01,PRODUCT19,201402,2401
A01,PRODUCT20,201402,6
A01,PRODUCT47,201402,4286
A01,PRODUCT60,201402,10
A01,PRODUCT56,201402,4611
A01,PRODUCT57,201402,9108
A01,PRODUCT12,201402,109173
A01,PRODUCT1,201402,9169
A01,PRODUCT33,201402,5337
A01,PRODUCT14,201402,6363
A01,PRODUCT62,201402,3309
A02,PRODUCT2,201402,6424
A02,PRODUCT6,201402,0
A02,PRODUCT58,201402,102
A02,PRODUCT63,201402,2714
A02,PRODUCT4,201402,1708
A02,PRODUCT16,201402,0
A02,PRODUCT59,201402,26250
A02,PRODUCT34,201402,1370
A02,PRODUCT47,201402,563
A02,PRODUCT60,201402,23
A02,PRODUCT56,201402,95
A02,PRODUCT57,201402,43
A02,PRODUCT12,201402,4874
A02,PRODUCT1,201402,188
A02,PRODUCT33,201402,1050
A02,PRODUCT14,201402,1149
A02,PRODUCT62,201402,396
A01,PRODUCT2,201408,260
A01,PRODUCT6,201408,0
A01,PRODUCT58,201408,0
A01,PRODUCT63,201408,47394
A01,PRODUCT15,201408,3608
A01,PRODUCT4,201408,21528
A01,PRODUCT16,201408,1327
A01,PRODUCT59,201408,406640
A01,PRODUCT34,201408,40100
A01,PRODUCT7,201408,1401
A01,PRODUCT75,201408,31742
A01,PRODUCT8,201408,126
A01,PRODUCT19,201408,1414
A01,PRODUCT20,201408,23
A01,PRODUCT47,201408,5966
A01,PRODUCT60,201408,2
A01,PRODUCT56,201408,7592
A01,PRODUCT57,201408,9314
A01,PRODUCT12,201408,162431
A01,PRODUCT1,201408,10156
A01,PRODUCT33,201408,8519
A01,PRODUCT14,201408,10811
A01,PRODUCT62,201408,6383
A02,PRODUCT2,201408,4763
A02,PRODUCT6,201408,0
A02,PRODUCT58,201408,61
A02,PRODUCT63,201408,2025
A02,PRODUCT4,201408,1051
A02,PRODUCT16,201408,0
A02,PRODUCT59,201408,23088
A02,PRODUCT34,201408,1213
A02,PRODUCT47,201408,683
A02,PRODUCT60,201408,14
A02,PRODUCT56,201408,118
A02,PRODUCT57,201408,53
A02,PRODUCT12,201408,4570
A02,PRODUCT1,201408,150
A02,PRODUCT33,201408,1018
A02,PRODUCT14,201408,1052
A02,PRODUCT62,201408,338
A01,PRODUCT2,201406,277
A01,PRODUCT6,201406,6
A01,PRODUCT58,201406,0
A01,PRODUCT63,201406,35860
A01,PRODUCT15,201406,4208
A01,PRODUCT4,201406,17662
A01,PRODUCT16,201406,991
A01,PRODUCT59,201406,331793
A01,PRODUCT34,201406,18152
A01,PRODUCT7,201406,878
A01,PRODUCT75,201406,24135
A01,PRODUCT8,201406,156
A01,PRODUCT19,201406,1428
A01,PRODUCT20,201406,18
A01,PRODUCT47,201406,3684
A01,PRODUCT60,201406,5
A01,PRODUCT56,201406,5777
A01,PRODUCT57,201406,8392
A01,PRODUCT12,201406,124848
A01,PRODUCT1,201406,10327
A01,PRODUCT33,201406,4854
A01,PRODUCT14,201406,8858
A01,PRODUCT62,201406,7374
A02,PRODUCT2,201406,3350
A02,PRODUCT6,201406,0
A02,PRODUCT58,201406,22
A02,PRODUCT63,201406,2222
A02,PRODUCT4,201406,1496
A02,PRODUCT16,201406,0
A02,PRODUCT59,201406,19419
A02,PRODUCT34,201406,6409
A02,PRODUCT47,201406,503
A02,PRODUCT60,201406,13
A02,PRODUCT56,201406,84
A02,PRODUCT57,201406,50
A02,PRODUCT12,201406,4881
A02,PRODUCT1,201406,112
A02,PRODUCT33,201406,766
A02,PRODUCT14,201406,782
A02,PRODUCT62,201406,258
A01,PRODUCT2,201405,246
A01,PRODUCT6,201405,0
A01,PRODUCT58,201405,0
A01,PRODUCT63,201405,43301
A01,PRODUCT15,201405,3379
A01,PRODUCT4,201405,24596
A01,PRODUCT16,201405,1114
A01,PRODUCT59,201405,310006
A01,PRODUCT34,201405,12496
A01,PRODUCT7,201405,972
A01,PRODUCT75,201405,28700
A01,PRODUCT8,201405,160
A01,PRODUCT19,201405,2199
A01,PRODUCT20,201405,22
A01,PRODUCT47,201405,3276
A01,PRODUCT60,201405,13
A01,PRODUCT56,201405,5277
A01,PRODUCT57,201405,8550
A01,PRODUCT12,201405,167828
A01,PRODUCT1,201405,10254
A01,PRODUCT33,201405,4385
A01,PRODUCT14,201405,6035
A01,PRODUCT62,201405,3855
A02,PRODUCT2,201405,1875
A02,PRODUCT6,201405,0
A02,PRODUCT58,201405,28
A02,PRODUCT63,201405,2566
A02,PRODUCT4,201405,1529
A02,PRODUCT16,201405,0
A02,PRODUCT59,201405,18223
A02,PRODUCT34,201405,1090
A02,PRODUCT47,201405,563
A02,PRODUCT60,201405,9
A02,PRODUCT56,201405,72
A02,PRODUCT57,201405,36
A02,PRODUCT12,201405,5507
A02,PRODUCT1,201405,154
A02,PRODUCT33,201405,869
A02,PRODUCT14,201405,1079
A02,PRODUCT62,201405,360
A01,PRODUCT2,201407,240
A01,PRODUCT6,201407,0
A01,PRODUCT58,201407,0
A01,PRODUCT63,201407,48170
A01,PRODUCT15,201407,6211
A01,PRODUCT4,201407,23494
A01,PRODUCT16,201407,1294
A01,PRODUCT59,201407,420826
A01,PRODUCT34,201407,35577
A01,PRODUCT7,201407,1024
A01,PRODUCT75,201407,27527
A01,PRODUCT8,201407,110
A01,PRODUCT19,201407,2269
A01,PRODUCT20,201407,37
A01,PRODUCT47,201407,4931
A01,PRODUCT60,201407,2
A01,PRODUCT56,201407,5964
A01,PRODUCT57,201407,8763
A01,PRODUCT12,201407,157644
A01,PRODUCT1,201407,9581
A01,PRODUCT33,201407,6519
A01,PRODUCT14,201407,9796
A01,PRODUCT62,201407,6679
A02,PRODUCT2,201407,7977
A02,PRODUCT6,201407,0
A02,PRODUCT58,201407,69
A02,PRODUCT63,201407,2230
A02,PRODUCT4,201407,1390
A02,PRODUCT16,201407,0
A02,PRODUCT59,201407,23558
A02,PRODUCT34,201407,1299
A02,PRODUCT47,201407,477
A02,PRODUCT60,201407,10
A02,PRODUCT56,201407,114
A02,PRODUCT57,201407,51
A02,PRODUCT12,201407,5391
A02,PRODUCT1,201407,142
A02,PRODUCT33,201407,1027
A02,PRODUCT14,201407,978
A02,PRODUCT62,201407,281
A01,PRODUCT8,201409,115
A01,PRODUCT19,201409,2544
A01,PRODUCT20,201409,33
A01,PRODUCT47,201409,4175
A01,PRODUCT60,201409,-2
A01,PRODUCT56,201409,7003
A01,PRODUCT57,201409,8571
A01,PRODUCT12,201409,147877
A01,PRODUCT1,201409,9045
A01,PRODUCT33,201409,8135
A01,PRODUCT14,201409,9000
A01,PRODUCT62,201409,4571
A02,PRODUCT2,201409,4319
A02,PRODUCT6,201409,0
A02,PRODUCT58,201409,66
A02,PRODUCT63,201409,2328
A02,PRODUCT4,201409,1146
A02,PRODUCT16,201409,0
A02,PRODUCT59,201409,26071
A02,PRODUCT34,201409,2536
A02,PRODUCT47,201409,763
A02,PRODUCT60,201409,34
A02,PRODUCT56,201409,100
A02,PRODUCT57,201409,53
A02,PRODUCT12,201409,5437
A02,PRODUCT1,201409,244
A02,PRODUCT33,201409,1204
A02,PRODUCT14,201409,1256
A02,PRODUCT62,201409,396
A01,PRODUCT2,201409,314
A01,PRODUCT6,201409,0
A01,PRODUCT58,201409,0
A01,PRODUCT63,201409,42695
A01,PRODUCT15,201409,3824
A01,PRODUCT4,201409,19137
A01,PRODUCT16,201409,988
A01,PRODUCT59,201409,379845
A01,PRODUCT34,201409,38850
A01,PRODUCT7,201409,978
A01,PRODUCT75,201409,25819
A01,PRODUCT2,201410,330
A01,PRODUCT6,201410,1
A01,PRODUCT58,201410,0
A01,PRODUCT63,201410,40494
A01,PRODUCT15,201410,3694
A01,PRODUCT4,201410,16086
A01,PRODUCT16,201410,965
A01,PRODUCT59,201410,384239
A01,PRODUCT34,201410,31439
A01,PRODUCT7,201410,1245
A01,PRODUCT75,201410,30186
A01,PRODUCT8,201410,81
A01,PRODUCT19,201410,2064
A01,PRODUCT20,201410,7
A01,PRODUCT47,201410,4187
A01,PRODUCT60,201410,3
A01,PRODUCT56,201410,6849
A01,PRODUCT57,201410,7857
A01,PRODUCT12,201410,145733
A01,PRODUCT1,201410,8141
A01,PRODUCT33,201410,7632
A01,PRODUCT14,201410,9286
A01,PRODUCT62,201410,5503
A02,PRODUCT2,201410,5752
A02,PRODUCT6,201410,0
A02,PRODUCT58,201410,128
A02,PRODUCT63,201410,2117
A02,PRODUCT4,201410,1059
A02,PRODUCT16,201410,0
A02,PRODUCT59,201410,27594
A02,PRODUCT34,201410,5263
A02,PRODUCT47,201410,334
A02,PRODUCT60,201410,30
A02,PRODUCT56,201410,113
A02,PRODUCT57,201410,54
A02,PRODUCT12,201410,4243
A02,PRODUCT1,201410,151
A02,PRODUCT33,201410,1285
A02,PRODUCT14,201410,1276
A02,PRODUCT62,201410,444
A01,PRODUCT2,201411,336
A01,PRODUCT6,201411,0
A01,PRODUCT58,201411,0
A01,PRODUCT63,201411,35093
A01,PRODUCT15,201411,4213
A01,PRODUCT4,201411,14790
A01,PRODUCT16,201411,951
A01,PRODUCT59,201411,372185
A01,PRODUCT34,201411,28563
A01,PRODUCT7,201411,1487
A01,PRODUCT75,201411,34159
A01,PRODUCT8,201411,97
A01,PRODUCT19,201411,2669
A01,PRODUCT20,201411,78
A01,PRODUCT47,201411,4692
A01,PRODUCT60,201411,6
A01,PRODUCT56,201411,8219
A01,PRODUCT57,201411,10860
A01,PRODUCT12,201411,132535
A01,PRODUCT1,201411,7635
A01,PRODUCT33,201411,7415
A01,PRODUCT14,201411,9027
A01,PRODUCT62,201411,4984
A02,PRODUCT2,201411,2901
A02,PRODUCT6,201411,0
A02,PRODUCT58,201411,283
A02,PRODUCT63,201411,2043
A02,PRODUCT4,201411,886
A02,PRODUCT16,201411,1
A02,PRODUCT59,201411,35799
A02,PRODUCT34,201411,4257
A02,PRODUCT47,201411,544
A02,PRODUCT60,201411,29
A02,PRODUCT56,201411,131
A02,PRODUCT57,201411,71
A02,PRODUCT12,201411,4313
A02,PRODUCT1,201411,40
A02,PRODUCT33,201411,1224
A02,PRODUCT14,201411,1221
A02,PRODUCT62,201411,432
A01,PRODUCT20,201413,14
A01,PRODUCT47,201413,4307
A01,PRODUCT2,201412,422
A01,PRODUCT6,201412,8
A01,PRODUCT58,201412,4
A01,PRODUCT63,201412,35347
A01,PRODUCT15,201412,5746
A01,PRODUCT4,201412,15900
A01,PRODUCT16,201412,858
A01,PRODUCT59,201412,340359
A01,PRODUCT34,201412,30164
A01,PRODUCT7,201412,1160
A01,PRODUCT75,201412,30724
A01,PRODUCT8,201412,133
A01,PRODUCT19,201412,3190
A01,PRODUCT20,201412,23
A01,PRODUCT47,201412,4224
A01,PRODUCT60,201412,1
